Regionalschluessel;Name;Breitengrad;Laengengrad
010535358078;Kulpin;53.708304;10.691181
010535358088;Mechow;53.715919;10.805384
010535358093;Mustin;53.685469;10.8824
010535358098;Pogeez;53.740825;10.716729
010535358102;Römnitz;53.730272;10.773429
010535358107;Salem;53.652811;10.862009
010535358110;Schmilau;53.660326;10.768005
010535358117;Seedorf;53.608592;10.882421
010535358123;Sterley;53.627724;10.814915
010535358136;Ziethen;53.692862;10.834528
010535373007;Basthorst;53.575964;10.483992
010535373017;Brunstorf;53.493375;10.426847
010535373021;Dahmker;53.585084;10.445307
010535373027;Elmenhorst;53.547477;10.527307
010535373031;Fuhlenhagen;53.572559;10.528113
010535373036;Grabau;53.510926;10.513152
010535373042;Groß Pampau;53.524855;10.564739
010535373045;Grove;53.529275;10.487433
010535373047;Gülzow;53.457247;10.494575
010535373049;Hamfelde;53.596992;10.439912
010535373052;Havekost;53.539455;10.467464
010535373059;Kankelau;53.549294;10.570402
010535373060;Kasseburg;53.562307;10.415215
010535373070;Köthel;53.609171;10.51554
010535373071;Kollow;53.468622;10.46222
010535373076;Kuddewörde;53.580083;10.407591
010535373089;Möhnsen;53.560508;10.462967
010535373091;Mühlenrade;53.594893;10.49172
010535373106;Sahms;53.522417;10.536063
010535391025;Duvensee;53.697635;10.572678
010535391038;Grinau;53.772555;10.546855
010535391039;Groß Boden;53.749582;10.460456
010535391044;Groß Schenkenberg;53.794941;10.576822
010535391068;Klinkrade;53.719259;10.5553
010535391069;Koberg;53.635287;10.527194
010535391077;Kühsen;53.683168;10.612798
010535391079;Labenz;53.710591;10.522579
010535391081;Lankau;53.66439;10.66859
010535391085;Linau;53.645722;10.472466
010535391086;Lüchow;53.690002;10.525706
010535391096;Nusse;53.660266;10.586178
010535391097;Panten;53.647334;10.623804
010535391099;Poggensee;53.63786;10.573449
010535391101;Ritzerau;53.667508;10.556731
010535391108;Sandesneben;53.691008;10.494472
010535391109;Schiphorst;53.704953;10.459573
010535391112;Schönberg;53.676711;10.432608
010535391114;Schürensöhlen;53.758703;10.475819
010535391118;Siebenbäumen;53.749001;10.525175
010535391121;Sirksfelde;53.663803;10.504721
010535391122;Steinhorst;53.728168;10.488811
010535391124;Stubben;53.73406;10.432248
010535391127;Walksfelde;53.629227;10.572306
010535391130;Wentorf (Amt Sandesneben);53.674332;10.47062
010539105105;Sachsenwald (Forstgutsbez.);53.530998;10.373394
010540033033;Friedrichstadt;54.376986;9.092302
010540056056;Husum;54.488142;9.049449
010540108108;Reußenköge;54.601294;8.900937
010540138138;Tönning;54.303108;8.885784
010540168168;Sylt;54.878417;8.358458
010545417035;Kirchspiel Garding;54.326208;8.77644
010545417036;Garding;54.331535;8.780767
010545417040;Grothusenkoog;54.298531;8.753015
010545417063;Katharinenheerd;54.334351;8.833169
010545417072;Kotzenbüll;54.334353;8.896729
010545417090;Norderfriedrichskoog;54.403704;8.897353
010545417095;Oldenswort;54.364649;8.938878
010545417100;Osterhever;54.390374;8.758624
010545417104;Poppenbüll;54.363205;8.748566
010545417113;Sankt Peter-Ording;54.307895;8.648155
010545417134;Tating;54.323074;8.707893
010545417135;Tetenbüll;54.374597;8.836661
010545417140;Tümlauer Koog;54.348746;8.683908
010545417145;Vollerwiek;54.290167;8.794058
010545417148;Welt;54.306798;8.805847
010545417150;Westerhever;54.383671;8.679734
010545439046;Hörnum (Sylt);54.769459;8.288688
010545439061;Kampen (Sylt);54.963964;8.347149
010545439078;List auf Sylt;55.023317;8.400584
010545439149;Wenningstedt-Braderup (Sylt);54.935621;8.336723
010545453003;Ahrenviöl;54.530913;9.215141
010545453004;Ahrenviölfeld;54.532725;9.272412
010545453011;Behrendorf;54.563105;9.229156
010545453013;Bondelum;54.556064;9.281055
010545453041;Haselund;54.598475;9.18176
010545453057;Immenstedt;54.537799;9.167479
010545453079;Löwenstedt;54.631216;9.182527
010545453092;Norstedt;54.594892;9.126703
010545453101;Oster-Ohrstedt;54.512206;9.249943
010545453118;Schwesing;54.498422;9.131819
010545453123;Sollwitt;54.599372;9.233673
010545453144;Viöl;54.566038;9.155172
010545453152;Wester-Ohrstedt;54.498995;9.219877
010545459039;Gröde;54.63521;8.726323
010545459050;Hallig Hooge;54.568076;8.544595
010545459074;Langeneß;54.641691;8.6076
